,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?
428,B.E.,Computer Applications,"Social Justice, Technology","Critical Thinking, Analytic Thinking, Business Knowledge, Communication Skills, Negotiation Skills, Leadership, Creativity Skills, Team work, Interpersonal Skills, Problem Solving skills, Risk Managing, Designing Skills",80.75
429,BCA,Automobile Engineering,Technology,Active Listening;Programming Language skills;Critical Thinking;Designing skills;SQL;Java;Cloud Computing,73.15
430,B.Tech,Java ,Data analytics;Data scientist,Communication skills;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python;SQL,65.74
431,B.Tech,electrical engineering,Data scientist,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence,66.5
432,BE,Electronics and Communication Engineering,"Research, Social Justice, Teaching","ML, Critical Thinking, Analytic Thinking, Gathering Informing, Communication Skills, Work under Pressure, Writing",80.75
433,B.E,Civil Engineering,Sales/Marketing,"Business Knowledge, Product Knowledge, Team work, Reading, Building Rapport",65.835
434,BE,Automobile Engineering,Financial Analysis;Research;Technology;Game industry ,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;SQL,67
435,BE,"Electrical, Electronics and Power Engineering ",Research;Game industry;Digital marketing;Data scientist;All fields related to Data science.;Information Technology;Blockchain,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Problem Solving skills;Machine Learning skills;Presentation Skills;R;Python;SQL,67
436,B.Tech,"Electrical, Electronics and Power Engineering ",Entrepreneurship,"Gathering Informing, Product Knowledge",64.125
437,B.Tech,Information TechNAlogy,Technology;Data analytics;Data scientist;All fields related to Data science.,Gathering Information;Business Knowledge;Analytical Skills;Designing skills;Presentation Skills;Content creation,71.345
438,B.Com,Mechanical Engineering,Financial Analysis;Sales/Marketing;Data analytics,Analytical Skills;People management;Communication skills;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python;MATLAB,43
439,B.Com,Insurance ,Entrepreneurship,"Business Knowledge, Leadership, Team work, Problem Solving skills",73.625
440,B.Tech,Commerce,Teaching,"Active Listening, Work under Pressure,Teamwork,Interpersonal Skills, Presentation skills, Reading",71.25
441,B.Tech,Computer Science Engineering,"Technology, Entrepreneurship","Business Knowledge, SQL, Programming, People Management, Communication Skills, Work under Pressure, Editing, Creativity Skills, Team work, Excel, Linux, Problem Solving skills, Observation Skills, Reading",71.25
442,B.Tech,Information TechNAlogy,"Research, Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Work under Pressure, digital marketing",66.5
443,Diploma,Information TechNAlogy,"Social Justice;Teaching;Govt. Job;Agriculture, services",Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Communication skills;Leadership;Good communication skills;Teaching,78
444,B.Tech,Geography ,Govt. Job,Hardware skills,82.91
445,B.Com,Mining,Sales/Marketing,Artistic/Creative Skills,68
446,B.Com,EcoNAmics ,Sales/Marketing,Artistic/Creative Skills,68
447,BBA,EcoNAmics ,Financial Analysis,"
SAP Successfactors;Financial Modeling;Corporate Finance;Equity Research;Financial Statement Analysis;Business Model Development;Financial Forecasting;Business Model InnovationBusiness Strategy",76.57
448,B.Tech,Finance,Understand human body,"
Cell Culture;Microbiology;Molecular Genetics;Microbial Genetics;Proteomics;PCR;Bioinformatics;ELISA;qRT-PCR;Mammalian Cell Culture;RNA Isolation;Site-directed Mutagenesis;Molecular & Cellular Biology;Immunology;Cell Biology;DNA Extraction",86.45
449,B.Sc,Biotechnology,Technology,"Python, SQL, Programming",84.835
450,BA,Computer Science Engineering,Research;Understand human behaviour;Understand human body;Web Designing;Content Writing;Game industry,Active Listening;Leadership;Editing;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Content creation,53
451,B.Sc,English,Web Designing,Programming Language skills;Communication skills;Leadership;Editing;Designing skills;Writing skills;C++;SQL,78
452,B.Tech,Computer Science Engineering,Teaching,"Python, Analytic Thinking, Java, Oracle, Editing, C++, Problem Solving skills",77
453,BE,Computer Science Engineering,Research;Sales/Marketing;Technology;Understand human behaviour,Communication skills;Negotiation skills;Product knowledge;Designing skills,69.35
454,MCA,Mechanical engineering ,Data scientist,Communication skills;Leadership;Problem Solving skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );C++;Presentation Skills;Python;Artificial Intelligence;Content creation;Hospitality;HR;Good communication skills;Teaching,71.25
455,B.Tech,Computers ,Technology;Data analytics,Programming Language skills;Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence,63.65
456,B.Tech,Mechanical engineering ,Data analytics;Data scientist,Communication skills;Machine Learning skills;Python;SQL,63.65
457,B.Tech,Mechanical engineering ,Sales/Marketing;Teaching;Technology,Accounting Skills;Risk management skills;Designing skills;Writing skills,77.55
458,B.Tech,Electrical and Electronics Engineering,Technology;Govt. Job;Design,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Communication skills;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Java,66.5
459,BE,Mechanical Engineering,"Teaching;Technology;Design;Agriculture, services",Active Listening;Business Knowledge;People management;Communication skills;Leadership;Designing skills;Writing skills;Social Media Marketing;Hospitality;Good communication skills;Teaching;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);mechanical maintenance;Excel,75.05
460,B.Tech,Automobile Engineering,Technology,"AI, ML, Python",56
461,BE,Computer Science Engineering,Entrepreneurship,"Editing, Excel, PowerBI",74.1
462,B.Tech,Civil Engineering,Music,"Python, Java, SQL",77.9
463,BE,Computer Science Engineering,Teaching;Technology;Trading,Programming Language skills;Critical Thinking;Artistic/Creative Skills,66.5
464,BE,Engineering,"Take risk for Profits, Technology, Understand Human Behaviour, Understand Human Body","AI, Business Knowledge, Team work, Problem Solving skills",63.365
465,B.Tech,Automobile Engineering,"Web development,Social causes,All fields related to Data science,Machine Learning,Data scientist",html;c;PHP;CSS;Drupal;Javascript;MSSQL;jQuery;NetBeans;MySql;Ajax;XML,83.6
466,B.Tech,Computer Science Engineering,"Research,Understand human body,BioTechnology",Cell culture ;plant tissue culture; environmental biotechnology; microbiology ;nanomaterials ;nanoparticles;nanobiotechnology; gas chromatographyHigh-Performance Liquid Chromatography (HPLC); electrospinning; mammalian cell culture ;bacterial culture; ndds ;chromatography;Tissue culture;UV/Vis Spectroscopy,71.25
467,B.Tech,Biotechnology,Technology,Integrated Circuits;Lead Generation;Android and IOS App Developer;Aurdino,86.45
468,B.Com,Electronics & Telecommunications Engineering,Sales/Marketing,"Work under Pressure, Excel, Sales",50
469,B.Tech,Computer Applications,Technology,NO,76
470,B.Sc,Computer Science Engineering,Game industry,Business Knowledge;Finance related skills;SQL;Java,70
471,B.Tech,Computer science ,"Research,Understand human body,BioTechnology",Good Manufacturing Practice (GMP);Hazard Analysis and Critical Control Points (HACCP);Food Safety;Quality Assurance;Problem Solving;Critical Thinking;Food Microbiology;Food Technology,87.875
472,BALLB,Biotechnology,Litigation & Legal service,Critical Thinking;Civil & Criminal Law,67.64
473,B.Tech,Law,Data analytics,Data Visualization skills( Power Bi/ Tableau );SQL,77
474,B.Tech,Electronics and Communication Engineering,Data analytics,Analytical Skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Python;SQL;Java,79.515
475,BE,Computer Science & Engineering,Design,Business Knowledge;Communication skills;Designing skills;Writing skills;Machine Learning skills,68.4
476,B.Sc,Engineering graphics,In IT services,"ML, Python, Java, SQL, C++, Linux",65.55
477,B.Tech,Computer Science Engineering,Sales/Marketing,"Business Knowledge, Java, SQL, Excel, Reporting",75.05
478,B.Tech,Information Technology,Technology,"SQL, C++",86
479,B.Tech,Electrical and Electronics Engineering,"Financial Analysis, Research, Technology, GIS","Active Listening, ML, Python, Analytic Thinking, SQL, Programming, Communication Skills, Creativity Skills, Team work, Logical Skills, Tableau, Reading",73.055
480,BE,Mechanical Engineering,Technology,"ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, Java, SQL, Programming, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Team work, C++, Problem Solving skills, Reading",64.6
481,B.E ,Communication & Political Science,Technology,"ML, Python, SQL, Oracle, Tableau",62
482,B.Tech,Computer Science Engineering,Sales/Marketing;Design,Gathering Information;Business Knowledge;People management;Communication skills;Leadership;Sales,64
483,B.Sc,Chemical engineering,"Research, Understand Human Behaviour, Understand Human Body","Artistic skills, Business Knowledge, Communication Skills, Creativity Skills, Interpersonal Skills, Presentation Skills, Writing, Observation Skills, Reading, Subject Knowledge",80.75
484,Poo.sc,Psychology,Sales/Marketing,Sales,53
485,B.Tech,Political science,"Technology, Trading, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Editing, Team work, Excel, Presentation Skills, Reading, Designing Skills",80.75
486,B.Tech,Mechanical Engineering,Technology;Content Writing;Home interior design;Compering,Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Writing skills;C++;MATLAB;Good communication skills,66.595
487,BE,Electronics and Communication Engineering,Technology,"Java, SQL, Oracle, Programming, Problem Solving skills",78.375
488,B.Tech,Automobile Engineering,SAFETY,"Business Knowledge, People Management, Work under Pressure, Leadership, Team work, Interpersonal Skills, Wealth Management, Risk Managing",67.45
489,B.Tech,Automobile Engineering,Project Management,Active Listening;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Presentation Skills,87.4
490,MCA,Computer Science Engineering,Technology,Programming Language skills,94.05
491,B.Sc,Computer,"Take risk for Profits, Teaching, Technology, Entrepreneurship, Understand Human Behaviour","Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Negotiation Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Market Study, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Observation Skills, Risk Managing, Reading",73.53
492,B.Tech,Computer Science Engineering,"Financial Analysis, Research, Technology, Trading","Active Listening, ML, Python, Analytic Thinking, Gathering Informing, Java, SQL, Programming, People Management, Communication Skills, Work under Pressure, Leadership, Editing, Creativity Skills, Team work, C++, Linux, Reading, Building Rapport, Subject Knowledge",82.555
493,BE,Computer Science Engineering,Technology;Data analytics;Data scientist,Active Listening;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Python;Artificial Intelligence;SQL,74.1
494,B.Tech,Oops,Further Studies,NO,58.9
495,Chartered Accountancy,Mechanical Engineering,"Financial Analysis, News Coverage","Accounting Skills, AI, Business Knowledge, Work under Pressure, Leadership, Team work, Excel, Risk Managing, Reporting",85.5
496,M.Tech,Taxation & Law,Data analytics;Web development;All fields related to Data science.,Programming Language skills;Analytical Skills;Leadership,63
